timestamp,demand_units,step,capacity_units,processed_units,backlog_units,utilization,cycle_time_min,uph,labor_hours_used,headcount_used,date,dow,hour,is_weekend
2025-01-01 00:00:00,236.36231285470205,pack,206.50590832160407,206.50590832160407,29.85640453309793,0.9999999951575236,49.99999951575237,90,2.294510066967712,3,2025-01-01,2,0,False
2025-01-01 00:00:00,247.12075904221123,pick,258.32994302563014,247.12075904221123,0.0,0.9566090372306713,57.07612965383391,110,2.24655233450599,3,2025-01-01,2,0,False
2025-01-01 00:00:00,262.14569785062923,receive,288.8636389091812,262.14569785062923,0.0,0.9075067320104666,30.563004900785003,140,1.872469256986857,2,2025-01-01,2,0,False
2025-01-01 00:00:00,214.46110037097512,ship,237.8925047146219,214.46110037097512,0.0,0.9015042307732244,20.07521153866122,150,1.4297406596082298,2,2025-01-01,2,0,False
2025-01-01 01:00:00,226.92916355702823,pack,194.302492038318,194.302492038318,62.48307605180816,0.9999999948533856,49.99999948533856,90,2.158916554215572,3,2025-01-01,2,1,False
2025-01-01 01:00:00,211.0748516742876,pick,163.92470336845062,163.92470336845062,47.15014830583698,0.9999999938996382,62.49999923745479,110,1.4902245625293278,2,2025-01-01,2,1,False
2025-01-01 01:00:00,234.7350881149076,receive,159.8529968122502,159.8529968122502,74.88209130265739,0.9999999937442524,37.49999953081893,140,1.1418071119317363,2,2025-01-01,2,1,False
2025-01-01 01:00:00,212.6571231334661,ship,218.2812686552128,212.6571231334661,0.0,0.9742344062290348,23.71172031145175,150,1.41771414477168,2,2025-01-01,2,1,False
2025-01-01 02:00:00,262.1415188807492,pack,222.69095404526053,222.69095404526053,101.9336408872968,0.9999999955094718,49.99999955094719,90,2.474343906343518,3,2025-01-01,2,2,False
2025-01-01 02:00:00,272.0677824212372,pick,214.73720478410945,214.73720478410945,104.48072594296474,0.9999999953431452,62.49999941789315,110,1.952156389381392,2,2025-01-01,2,2,False
2025-01-01 02:00:00,284.09180394270874,receive,258.80280804232183,258.80280804232183,100.1710872030443,0.9999999961360544,37.49999971020408,140,1.84859147281236,2,2025-01-01,2,2,False
2025-01-01 02:00:00,256.52380552116,ship,265.570949795517,256.52380552116,0.0,0.9659332270820424,23.29666135410212,150,1.710158692073342,2,2025-01-01,2,2,False
2025-01-01 03:00:00,193.6635585895021,pack,209.2601928884527,209.2601928884527,86.33700658834618,0.9999999952212604,49.99999952212603,90,2.3251132284815497,3,2025-01-01,2,3,False
2025-01-01 03:00:00,219.25632938568253,pick,198.30478993865268,198.30478993865268,125.4322653899946,0.9999999949572576,62.4999993696572,110,1.8027708012352897,2,2025-01-01,2,3,False
2025-01-01 03:00:00,230.4528541882607,receive,294.62630410756776,294.62630410756776,35.99763728373722,0.99999999660587,37.49999974544025,140,2.104473585736387,3,2025-01-01,2,3,False
2025-01-01 03:00:00,180.16598599457132,ship,251.58847881740292,180.16598599457132,0.0,0.7161138146123845,10.80569073061923,150,1.2011065652897652,2,2025-01-01,2,3,False
2025-01-01 04:00:00,234.53508601099784,pack,206.12082080588573,206.12082080588573,114.75127179345829,0.9999999951484766,49.99999951484767,90,2.2902313168406048,3,2025-01-01,2,4,False
2025-01-01 04:00:00,240.84625818821684,pick,187.1165097895588,187.1165097895588,179.16201378865264,0.9999999946557362,62.49999933196704,110,1.7010591644409057,2,2025-01-01,2,4,False
2025-01-01 04:00:00,267.98266936887484,receive,251.0038610266845,251.0038610266845,52.9764456259276,0.9999999960159976,37.49999970119981,140,1.7928847088128554,2,2025-01-01,2,4,False
2025-01-01 04:00:00,211.06419382386545,ship,292.6261240382071,211.06419382386545,0.0,0.7212759756030245,11.063798780151226,150,1.4070946161118054,2,2025-01-01,2,4,False
2025-01-01 05:00:00,182.8941650018997,pack,194.8955602104131,194.8955602104131,102.74987658494491,0.9999999948690468,49.99999948690469,90,2.1655062004989656,3,2025-01-01,2,5,False
