timestamp,step,demand_units,capacity_units,processed_units,backlog_units,utilization,cycle_time_min,service_level_hourly,throughput_loss_units,labor_hours_used,headcount_used,backlog_in,required_units,required_capacity_units,uph,required_labor_hours,recommended_headcount,headcount_gap,labor_cost_impact
2025-01-01 00:00:00,pack,236.36231285470205,206.50590832160407,206.50590832160407,29.85640453309793,0.9999999951575236,49.99999951575237,206.50590832160407,29.856404533097987,2.294510066967712,3,0.0,236.36231285470205,248.8024345838969,90,2.7644714646602826,3,0,0.0
2025-01-01 01:00:00,pack,226.92916355702823,194.302492038318,194.302492038318,62.48307605180816,0.9999999948533856,49.99999948533856,194.302492038318,62.48307605180816,2.158916554215572,3,29.85640453309793,256.78556809012616,270.3005979896065,90,3.003339944291851,4,1,22.0
2025-01-01 02:00:00,pack,262.1415188807492,222.69095404526053,222.69095404526053,101.9336408872968,0.9999999955094718,49.99999955094719,222.69095404526053,101.9336408872968,2.474343906343518,3,62.48307605180816,324.62459493255733,341.71009992900775,90,3.7967788459136544,4,1,22.0
2025-01-01 03:00:00,pack,193.6635585895021,209.2601928884527,209.2601928884527,86.33700658834618,0.9999999952212604,49.99999952212603,209.2601928884527,86.33700658834618,2.3251132284815497,3,101.9336408872968,295.5971994767989,311.1549468176831,90,3.457277148448955,4,1,22.0
2025-01-01 04:00:00,pack,234.53508601099784,206.12082080588573,206.12082080588573,114.75127179345829,0.9999999951484766,49.99999951484767,206.12082080588573,114.75127179345829,2.2902313168406048,3,86.33700658834618,320.872092599344,337.7600974729937,90,3.7528899302233754,4,1,22.0
2025-01-01 05:00:00,pack,182.8941650018997,194.8955602104131,194.8955602104131,102.74987658494491,0.9999999948690468,49.99999948690469,194.8955602104131,102.74987658494489,2.1655062004989656,3,114.75127179345829,297.64543679535797,313.3109861003768,90,3.4812331402127072,4,1,22.0
2025-01-01 06:00:00,pack,188.44655592183267,224.9921971091391,224.9921971091391,66.20423539763846,0.9999999955554014,49.99999955554016,224.9921971091391,66.20423539763846,2.4999132734358427,3,102.74987658494491,291.19643250677757,306.5225605334501,90,3.4058061903071546,4,1,22.0
2025-01-01 07:00:00,pack,236.76813955467128,206.5728219911024,206.5728219911024,96.39955296120736,0.9999999951590922,49.99999951590922,206.5728219911024,96.39955296120736,2.2952535521760984,3,66.20423539763846,302.97237495230974,318.91828942348394,90,3.543536509777194,4,1,22.0
2025-01-01 08:00:00,pack,258.448867674972,190.6841746469229,190.6841746469229,164.16424598925644,0.9999999947557264,49.99999947557264,190.6841746469229,164.16424598925644,2.118713028091221,3,96.39955296120736,354.84842063617936,373.5246533012415,90,4.150273879455195,5,2,44.0
2025-01-01 09:00:00,pack,246.45083202141663,208.2971375841572,208.2971375841572,202.31794042651583,0.999999995199166,49.9999995199166,208.2971375841572,202.31794042651583,2.314412614108273,3,164.16424598925644,410.6150780106731,432.2263979059717,90,4.802515478927291,5,2,44.0
